Investor Name,Number of Company
Adams Street Partners,2
FundersClub. Bain Capital Ventures,1
AU21,1
Madera Technology Partners,1
NetEase Capital,1
Microsoft,1
Vivo Capital,1
Bain Capital,2
NightDragon Security,1
Vertex Ventures SE Asia,2
Visa Ventures,1
Oak Investment Partners,1
Female Founders Fund,1
SDP Investment,1
Plum Alley,1
Juxtapose,1
Amasia,1
Yunqi Partners,1
iVision Ventures,1
Monk's Hill Ventures,1
Dynamic Parcel Distribution,1
Insignia Ventures Partners,1
3one4 Capital Partners,2
Tru Arrow Partners,1
The Times Group,1
GMO VenturePartners,1
IAG Capital Partners,1
Augmentum Fintech,1
Vitruvian Partners,1
Merieux Equity Partners,1
Straumann,1
FreesFund,1
Hearst Ventures,1
468 Capital,1
Korea Investment Private Equity,1
Korea Investment Partners,1
Acero Capital,1
Equal Ventures,1
Grand Flight Investment,1
Victory Park Capital,1
Cathay Innovation,1
NJF Capital,1
Paladin Capital Group,1
Navitas Capital,1
RRE Ventures+,1
Ten Eleven Ventures,2
Prysm Capital,1
Danone Manifesto Ventures,1
1955 Capital,1
NewAlpha,1
XAnge Private Equity,1
Triangle Peak Partners,1
CyberStarts,1
Alpargatas,1
Nine Intelligence Capital,1
Guggenheim Investments,1
Apax Partners,1
First Ascent Ventures,1
JBV Capital,1
Array Ventures,1
AWZ Ventures,1
Endiya Partners,1
Next Play Ventures,1
Zeal Capital Partners,1
Multicoin Capital,1
Dragonfly Capital Partners,1
NGP Capital,1
Eleven Ventures,1
Lemniscap VC,1
North Island Ventures,1
Hanaco Ventures,1
STRIVE,1
Fasanara Capital,1
Baleen Capital,1
U.S. Venture Partners,1
dRx Capital,1
Liberty Strategic Capital,1
Eden Global Partners,1
Wildcat Capital Management,1
Tola Capital,1
Green Bay Ventures,1
Prime Movers Lab,1
I Squared Capital,1
Trellis Partners,1
Primary Venture Partners,1
Harmonic Growth Partners,1
FTX Ventures,1
Japan Industrial Partners,1
Impact Investment Capital,1
NEC,1
Varengold Bank,1
Circularity Capital,1
Coparion,1
Tull Investment Group,1
Emergence Capital,1
iSeed Ventures,1
Buckley Ventures,1
K Fund,1
AMF Pensionsforsakring,1
Sinar Mas Digital Ventures,1
JIC Venture Growth Investments,1
Splunk Ventures,2
Cisco Investments,2
Gaja Capital Partners,1
Stakeboat Capital,1
Hyde Park Angels,1
Boost VC,1
Draper Associates,1
Gaingels,1
