Investor Name,Number of Company
Comcast Ventures,4
Formation 8,3
Russia-China Investment Fund,2
Foxconn Technology Company,1
Horizons Ventures,4
Starr Investment Holdings,1
TLV Partners,3
Dragoneer Investment Group,3
Hellman & Friedman,1
JMI Equity,1
TQ Ventures,1
Bond Capital,1
Drive Capital,2
Ascension Ventures,1
Aleph,5
Georgian Partners,6
Foundation Capital,10
Blackrock,3
Kleiner Perkins Caulfield & Byers,1
Pear,1
Cowboy Ventures,2
Fifth Wall Ventures,7
Energize Ventures,1
Silversmith Capital Partners,5
Fairfax Financial Holdings,1
A91 Partners,1
TVS Capital,1
China Health Industry Investment Fund,1
China Renaissance,1
and Sequoia Capital China,1
New Leaf Venture Partners,1
Charter Venture Capital,1
Casa Verde Capital,1
Gron Ventures,1
Thrity Five Ventures,1
Dell Technologies Capital,6
Upfront Ventures,5
Webb Investment Network,1
Samsung Ventures,2
Silver Lake,5
Breakthrough Energy Ventures,4
Capricorn Investment Group,2
Valor Equity Partners,1
New Era Ventures,1
Alkeon Capital Management,2
Wonder Ventures,1
01 Advisors. Kleiner Perkins Caufield & Byers. Andreessen Horowitz,1
Promus Ventures,1
Lux Capital,5
NewView Capital,1
Maveron,2
Ridge Ventures,1
Franklin Templeton,3
EQT Partners,2
Activant Capital Group,1
Alaska Permanent Fund,2
Baillie Gifford & Co.,3
Kuang-Chi,1
HCA Healthcare,1
Elaia Partners,2
Felix Capital,3
Airbus Ventures,1
Caisse de depot et placement du Quebec,1
DN Capital,1
Left Lane Capital,5
Madrona Venture Group,8
Shasta Ventures,3
True Ventures,2
Mithril Capital Management,3
VebVentures,1
Blume Ventures,3
Noshaq,1
Sofinnova Partners,1
Kalaari Capital,3
China Environmental Protection Industry,1
China Fortune Ocean,1
Vertex Ventures,3
JTC Group,1
Qatar Investment Authority,2
Fidelity Investment,2
Geely,2
China State Capital Venture Capital Fund,1
Sands Capital,3
Revolution Growth,2
Moore Strategic Ventures,2
Lerer Hippeau,4
Kenetic Capital,1
Alibaba Pictures Group,1
VentureTech,1
Tiger Global,2
Google Capital,1
Cocnord Health Partners,1
Bertelsmann India Investments,3
AME Cloud Ventures,3
Future Perfect Ventures,1
Blockchain Capital,2
WestBridge Capital,4
Alliance Consumer Growth,1
Imaginary Ventures,1
The Column Group,2
Foresite Capital,2
next47,3
Microsoft ScaleUp,1
